airport name,airport,day,month,year,mean temp,mean wind speed,rain,snow,thunder,tornado
Hartsfield Jackson Atlanta International Airport,ATL,3,11,2008,61,9,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,4,11,2008,64,9,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,5,11,2008,61,4,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,6,11,2008,62,4,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,7,11,2008,61,7,1,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,8,11,2008,55,9,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,9,11,2008,49,8,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,10,11,2008,49,7,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,11,11,2008,50,8,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,12,11,2008,52,13,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,13,11,2008,56,6,1,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,14,11,2008,60,6,1,0,1,0
Hartsfield Jackson Atlanta International Airport,ATL,15,11,2008,53,15,1,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,16,11,2008,42,11,0,0,0,0
